auction_name,auction_slug,period_date,winning_bid_max,winning_bid_min,winning_bid_mean,trading_volume,lots_count,all_auctions_lots_count
WhiskyAuction.com,whiskyauctioncom,2007-06-01 00:00:00+00,490,1,43.3,35639,823,823
WhiskyAuction.com,whiskyauctioncom,2007-07-01 00:00:00+00,981,1,49.79,53921,1083,1083
WhiskyAuction.com,whiskyauctioncom,2007-08-01 00:00:00+00,1173,1,55.77,56215,1008,1008
WhiskyAuction.com,whiskyauctioncom,2007-09-01 00:00:00+00,1630,1,68.46,74069,1082,1082
WhiskyAuction.com,whiskyauctioncom,2007-10-01 00:00:00+00,1050,1,70.48,99731,1415,1415
WhiskyAuction.com,whiskyauctioncom,2007-11-01 00:00:00+00,720,1,60.54,71986,1189,1189
WhiskyAuction.com,whiskyauctioncom,2007-12-01 00:00:00+00,1361,1,70.75,73863,1044,1044
WhiskyAuction.com,whiskyauctioncom,2008-01-01 00:00:00+00,1084,1,75.57,102025,1350,1350
WhiskyAuction.com,whiskyauctioncom,2008-02-01 00:00:00+00,1125,1,73.16,80765,1104,1104
WhiskyAuction.com,whiskyauctioncom,2008-03-01 00:00:00+00,1194,1,67.6,66383,982,982
WhiskyAuction.com,whiskyauctioncom,2008-04-01 00:00:00+00,830,1,80.18,86830,1083,1083
WhiskyAuction.com,whiskyauctioncom,2008-05-01 00:00:00+00,1971,1,74.72,101913,1364,1364
WhiskyAuction.com,whiskyauctioncom,2008-06-01 00:00:00+00,755,1,76.04,90938,1196,1196
WhiskyAuction.com,whiskyauctioncom,2008-07-01 00:00:00+00,3009,1,76.53,117702,1538,1538
WhiskyAuction.com,whiskyauctioncom,2008-08-01 00:00:00+00,1954,1,89.2,138353,1551,1551
WhiskyAuction.com,whiskyauctioncom,2008-09-01 00:00:00+00,1627,1,81.43,137453,1688,1688
WhiskyAuction.com,whiskyauctioncom,2008-10-01 00:00:00+00,2297,1,88.25,146323,1658,1658
WhiskyAuction.com,whiskyauctioncom,2008-11-01 00:00:00+00,3860,1,85.41,162535,1903,2282
WhiskyAuction.com,whiskyauctioncom,2008-12-01 00:00:00+00,1982,1,88.49,162029,1831,1831
WhiskyAuction.com,whiskyauctioncom,2009-01-01 00:00:00+00,3067,1,137.81,224766,1631,1631
WhiskyAuction.com,whiskyauctioncom,2009-02-01 00:00:00+00,3057,1,111.93,190509,1702,1702
WhiskyAuction.com,whiskyauctioncom,2009-03-01 00:00:00+00,3097,1,112.83,156159,1384,1773
WhiskyAuction.com,whiskyauctioncom,2009-04-01 00:00:00+00,3135,1,111.47,151822,1362,1362
WhiskyAuction.com,whiskyauctioncom,2009-05-01 00:00:00+00,1885,1,99.29,174647,1759,1759
WhiskyAuction.com,whiskyauctioncom,2009-06-01 00:00:00+00,1518,1,98.51,162343,1648,1988
WhiskyAuction.com,whiskyauctioncom,2009-07-01 00:00:00+00,6947,1,99.85,187215,1875,1875
WhiskyAuction.com,whiskyauctioncom,2009-08-01 00:00:00+00,1330,1,76.89,119489,1554,1671
WhiskyAuction.com,whiskyauctioncom,2009-09-01 00:00:00+00,5558,1,100.01,132409,1324,1324
WhiskyAuction.com,whiskyauctioncom,2009-10-01 00:00:00+00,3010,1,104.72,180323,1722,1722
WhiskyAuction.com,whiskyauctioncom,2009-11-01 00:00:00+00,2239,1,98.56,180068,1827,2329
WhiskyAuction.com,whiskyauctioncom,2009-12-01 00:00:00+00,1251,1,85.33,167237,1960,2559
WhiskyAuction.com,whiskyauctioncom,2010-01-01 00:00:00+00,2660,1,117.85,272231,2310,2310
WhiskyAuction.com,whiskyauctioncom,2010-02-01 00:00:00+00,1150,1,86.03,181015,2104,2104
WhiskyAuction.com,whiskyauctioncom,2010-03-01 00:00:00+00,3087,1,88.97,136216,1531,1857
WhiskyAuction.com,whiskyauctioncom,2010-04-01 00:00:00+00,1863,1,90.52,149714,1654,1654
WhiskyAuction.com,whiskyauctioncom,2010-05-01 00:00:00+00,2093,1,88.45,148778,1682,1682
WhiskyAuction.com,whiskyauctioncom,2010-06-01 00:00:00+00,2508,1,76.73,109191,1423,2197
WhiskyAuction.com,whiskyauctioncom,2010-07-01 00:00:00+00,3704,1,94.87,172945,1823,1823
WhiskyAuction.com,whiskyauctioncom,2010-08-01 00:00:00+00,1628,1,99.9,177024,1772,1876
WhiskyAuction.com,whiskyauctioncom,2010-09-01 00:00:00+00,1749,1,83.86,142728,1702,1702
WhiskyAuction.com,whiskyauctioncom,2010-10-01 00:00:00+00,1486,1,100.88,219304,2174,2174
WhiskyAuction.com,whiskyauctioncom,2010-11-01 00:00:00+00,1304,1,92.42,175504,1899,2372
WhiskyAuction.com,whiskyauctioncom,2010-12-01 00:00:00+00,2774,1,77.13,108207,1403,1663
WhiskyAuction.com,whiskyauctioncom,2011-01-01 00:00:00+00,3017,1,110.97,457539,4123,4123
WhiskyAuction.com,whiskyauctioncom,2011-02-01 00:00:00+00,2137,1,102.74,201171,1958,1958
WhiskyAuction.com,whiskyauctioncom,2011-03-01 00:00:00+00,1703,1,101.78,187080,1838,2237
WhiskyAuction.com,whiskyauctioncom,2011-04-01 00:00:00+00,1080,1,91.4,156572,1713,2108
WhiskyAuction.com,whiskyauctioncom,2011-05-01 00:00:00+00,1520,1,108.08,218965,2026,2094
WhiskyAuction.com,whiskyauctioncom,2011-06-01 00:00:00+00,1345,1,90.82,247493,2725,3060
WhiskyAuction.com,whiskyauctioncom,2011-07-01 00:00:00+00,2267,1,89.62,195103,2177,2265
WhiskyAuction.com,whiskyauctioncom,2011-08-01 00:00:00+00,1773,1,83.09,147233,1772,1987
WhiskyAuction.com,whiskyauctioncom,2011-09-01 00:00:00+00,1106,1,83.77,162758,1943,2154
WhiskyAuction.com,whiskyauctioncom,2011-10-01 00:00:00+00,2622,1,96.78,233039,2408,2933
WhiskyAuction.com,whiskyauctioncom,2011-11-01 00:00:00+00,3505,1,103.22,251032,2432,2740
WhiskyAuction.com,whiskyauctioncom,2011-12-01 00:00:00+00,1250,1,87.69,224741,2563,3421
WhiskyAuction.com,whiskyauctioncom,2012-01-01 00:00:00+00,1913,1,101.79,337043,3311,3586
WhiskyAuction.com,whiskyauctioncom,2012-02-01 00:00:00+00,3163,1,90.32,210090,2326,2683
WhiskyAuction.com,whiskyauctioncom,2012-03-01 00:00:00+00,1883,1,151.16,297781,1970,2689
WhiskyAuction.com,whiskyauctioncom,2012-04-01 00:00:00+00,1534,1,93.28,175918,1886,2409
WhiskyAuction.com,whiskyauctioncom,2012-05-01 00:00:00+00,2447,1,92.65,213103,2300,3015
WhiskyAuction.com,whiskyauctioncom,2012-06-01 00:00:00+00,2983,1,104.25,206304,1979,3154
WhiskyAuction.com,whiskyauctioncom,2012-07-01 00:00:00+00,1886,1,98.4,209192,2126,2888
WhiskyAuction.com,whiskyauctioncom,2012-08-01 00:00:00+00,3394,1,90.12,171852,1907,2782
WhiskyAuction.com,whiskyauctioncom,2012-09-01 00:00:00+00,2485,1,108.52,159421,1469,2331
WhiskyAuction.com,whiskyauctioncom,2012-10-01 00:00:00+00,1878,1,116.28,251740,2165,3718
WhiskyAuction.com,whiskyauctioncom,2012-11-01 00:00:00+00,4164,1,116.42,313868,2696,3738
